indice,date_partido,local,visita,prediccion,correcto,multiplicador
premiere,13/08/2016,Burnley,Swansea,-,,1.1
premiere,13/08/2016,Everton,Tottenham,-,,1.04
premiere,13/08/2016,Southampton,Watford,-,,1.27
premiere,13/08/2016,Crystal Palace,West Brom,-,,1.09
premiere,14/08/2016,Arsenal,Liverpool,-,,1.05
premiere,14/08/2016,Bournemouth,Man United,-,,1.25
premiere,15/08/2016,Chelsea,West Ham,-,,1.03
premiere,19/08/2016,Man United,Southampton,Man United,1,1.05
premiere,20/08/2016,Leicester,Arsenal,-,,1.32
premiere,20/08/2016,Watford,Chelsea,-,,1.02
premiere,20/08/2016,Tottenham,Crystal Palace,-,,1.19
premiere,20/08/2016,West Brom,Everton,-,,1.1
premiere,20/08/2016,Burnley,Liverpool,-,,1.16
premiere,20/08/2016,Stoke,Man City,Man City,1,1.19
premiere,21/08/2016,West Ham,Bournemouth,-,,1.26
premiere,27/08/2016,Watford,Arsenal,-,,1.2
premiere,27/08/2016,Crystal Palace,Bournemouth,-,,1.04
premiere,27/08/2016,Chelsea,Burnley,-,,1.17
premiere,27/08/2016,Tottenham,Liverpool,-,,1.06
premiere,27/08/2016,Everton,Stoke,-,,1.22
premiere,27/08/2016,Leicester,Swansea,-,,1.03
premiere,28/08/2016,Man City,West Ham,Man City,1,1.11
premiere,10/09/2016,Liverpool,Leicester,-,,1.03
premiere,10/09/2016,Man United,Man City,-,,1.2
premiere,10/09/2016,Arsenal,Southampton,-,,1.3
premiere,10/09/2016,Stoke,Tottenham,Tottenham,1,1.24
premiere,10/09/2016,West Ham,Watford,-,,1.26
premiere,10/09/2016,Bournemouth,West Brom,-,,1.12
premiere,11/09/2016,Swansea,Chelsea,-,,1.12
premiere,16/09/2016,Chelsea,Liverpool,-,,1.2
premiere,17/09/2016,Man City,Bournemouth,Man City,1,1.21
premiere,17/09/2016,Leicester,Burnley,-,,1.31
premiere,17/09/2016,West Brom,West Ham,-,,1.12
premiere,18/09/2016,Watford,Man United,Man United,0,1.14
premiere,18/09/2016,Crystal Palace,Stoke,-,,1.24
premiere,18/09/2016,Southampton,Swansea,-,,1.04
premiere,24/09/2016,Arsenal,Chelsea,-,,1.31
premiere,24/09/2016,Bournemouth,Everton,-,,1.06
premiere,24/09/2016,Man United,Leicester,-,,1.22
premiere,24/09/2016,Swansea,Man City,Man City,1,1.11
premiere,24/09/2016,Stoke,West Brom,-,,1.17
premiere,25/09/2016,West Ham,Southampton,-,,1.19
premiere,26/09/2016,Burnley,Watford,-,,1.13
premiere,30/09/2016,Everton,Crystal Palace,-,,1.07
premiere,01/10/2016,Watford,Bournemouth,-,,1.28
premiere,01/10/2016,Swansea,Liverpool,Liverpool,1,1.28
premiere,02/10/2016,Burnley,Arsenal,-,,1.03
premiere,02/10/2016,Tottenham,Man City,-,,1.16
premiere,02/10/2016,Leicester,Southampton,-,,1.15
premiere,02/10/2016,Man United,Stoke,Man United,,1.06
premiere,15/10/2016,Man City,Everton,Man City,,1.19
premiere,15/10/2016,Chelsea,Leicester,-,,1.01
premiere,15/10/2016,Arsenal,Swansea,-,,1.03
premiere,15/10/2016,West Brom,Tottenham,Tottenham,,1.01
premiere,15/10/2016,Crystal Palace,West Ham,-,,1.17
premiere,16/10/2016,Southampton,Burnley,-,,1.26
premiere,17/10/2016,Liverpool,Man United,-,,1.11
premiere,22/10/2016,Leicester,Crystal Palace,-,,1.17
premiere,22/10/2016,Burnley,Everton,-,,1.17
premiere,22/10/2016,Bournemouth,Tottenham,-,,1.02
premiere,22/10/2016,Swansea,Watford,-,,1.29
premiere,22/10/2016,Liverpool,West Brom,Liverpool,1,1.3
premiere,23/10/2016,Chelsea,Man United,-,,1.33
premiere,23/10/2016,Man City,Southampton,Man City,,1.02
premiere,29/10/2016,Man United,Burnley,-,,1.13
premiere,29/10/2016,Tottenham,Leicester,-,,1.21
premiere,29/10/2016,Crystal Palace,Liverpool,-,,1.08
premiere,29/10/2016,West Brom,Man City,Man City,1,1.27
premiere,30/10/2016,Southampton,Chelsea,-,,1.21
premiere,30/10/2016,Everton,West Ham,-,,1.09
premiere,31/10/2016,Stoke,Swansea,-,,1.3
premiere,05/11/2016,Burnley,Crystal Palace,-,,1.06
premiere,05/11/2016,Chelsea,Everton,-,,1.1
premiere,05/11/2016,West Ham,Stoke,-,,1.28
premiere,06/11/2016,Swansea,Man United,Man United,1,1.16
premiere,06/11/2016,Arsenal,Tottenham,-,,1.16
premiere,06/11/2016,Liverpool,Watford,Liverpool,1,1.33
premiere,06/11/2016,Leicester,West Brom,-,,1.06
premiere,19/11/2016,Man United,Arsenal,-,,1.33
premiere,19/11/2016,Stoke,Bournemouth,-,,1.31
premiere,19/11/2016,Watford,Leicester,-,,1.09
premiere,19/11/2016,Southampton,Liverpool,Liverpool,,1.14
premiere,19/11/2016,Crystal Palace,Man City,Man City,1,1.26
premiere,19/11/2016,Everton,Swansea,-,,1.04
premiere,19/11/2016,Tottenham,West Ham,Tottenham,1,1.11
premiere,21/11/2016,West Brom,Burnley,-,,1.23
premiere,26/11/2016,Swansea,Crystal Palace,-,,1.23
premiere,26/11/2016,Burnley,Man City,Man City,1,1.16
premiere,26/11/2016,Chelsea,Tottenham,-,,1.18
premiere,27/11/2016,Arsenal,Bournemouth,-,,1.07
premiere,27/11/2016,Southampton,Everton,-,,1.11
premiere,27/11/2016,Watford,Stoke,-,,1.06
premiere,27/11/2016,Man United,West Ham,Man United,,1.21
premiere,03/12/2016,West Ham,Arsenal,-,,1.07
premiere,03/12/2016,Stoke,Burnley,-,,1.33
premiere,03/12/2016,Man City,Chelsea,-,,1.1
premiere,03/12/2016,Crystal Palace,Southampton,-,,1.09
premiere,03/12/2016,Tottenham,Swansea,Tottenham,1,1.19
premiere,03/12/2016,West Brom,Watford,-,,1.09
premiere,04/12/2016,Bournemouth,Liverpool,Liverpool,0,1.04
premiere,04/12/2016,Everton,Man United,-,,1.08
premiere,10/12/2016,Burnley,Bournemouth,-,,1.31
premiere,10/12/2016,Watford,Everton,-,,1.16
premiere,10/12/2016,Leicester,Man City,Man City,0,1.01
premiere,10/12/2016,Arsenal,Stoke,-,,1.28
premiere,11/12/2016,Man United,Tottenham,-,,1.03
premiere,11/12/2016,Chelsea,West Brom,-,,1.29
premiere,11/12/2016,Liverpool,West Ham,Liverpool,,1.26
premiere,13/12/2016,Everton,Arsenal,-,,1.06
premiere,13/12/2016,Bournemouth,Leicester,-,,1.11
premiere,14/12/2016,West Ham,Burnley,-,,1.13
premiere,14/12/2016,Crystal Palace,Man United,-,,1.26
premiere,14/12/2016,Stoke,Southampton,-,,1.24
premiere,14/12/2016,West Brom,Swansea,-,,1.18
premiere,14/12/2016,Man City,Watford,Man City,1,1.22
premiere,17/12/2016,Crystal Palace,Chelsea,-,,1.05
premiere,17/12/2016,Stoke,Leicester,-,,1.03
premiere,17/12/2016,West Brom,Man United,Man United,1,1.29
premiere,18/12/2016,Man City,Arsenal,-,,1.18
premiere,18/12/2016,Tottenham,Burnley,-,,1.13
premiere,18/12/2016,Bournemouth,Southampton,-,,1.07
premiere,19/12/2016,Everton,Liverpool,Liverpool,1,1.08
premiere,26/12/2016,Chelsea,Bournemouth,-,,1.29
premiere,26/12/2016,Watford,Crystal Palace,-,,1.17
premiere,26/12/2016,Leicester,Everton,-,,1.06
premiere,26/12/2016,Arsenal,West Brom,-,,1.15
premiere,26/12/2016,Swansea,West Ham,-,,1
premiere,27/12/2016,Liverpool,Stoke,Liverpool,1,1.02
premiere,28/12/2016,Southampton,Tottenham,Tottenham,1,1.24
premiere,31/12/2016,Swansea,Bournemouth,-,,1.25
premiere,31/12/2016,Liverpool,Man City,-,,1.11
premiere,31/12/2016,Chelsea,Stoke,-,,1.08
premiere,31/12/2016,Southampton,West Brom,-,,1.04
premiere,31/12/2016,Leicester,West Ham,-,,1.21
premiere,01/01/2017,Arsenal,Crystal Palace,-,,1.27
premiere,01/01/2017,Watford,Tottenham,Tottenham,1,1.13
premiere,02/01/2017,Man City,Burnley,Man City,1,1.1
premiere,02/01/2017,West Ham,Man United,Man United,1,1.3
premiere,02/01/2017,Everton,Southampton,-,,1.18
premiere,03/01/2017,Bournemouth,Arsenal,-,,1.13
premiere,03/01/2017,Crystal Palace,Swansea,-,,1.1
premiere,03/01/2017,Stoke,Watford,-,,1.05
