player,RP
104745,8770
103819,8670
100644,5615
105227,4950
105777,4870
105223,4450
104731,3635
106233,3355
105676,3020
104545,2980
105807,2415
106043,2165
105138,2120
106058,2110
105023,2095
106298,2030
106378,1950
104926,1940
111202,1775
104607,1750
105453,1710
104925,1665
106401,1630
104259,1620
133430,1573
105173,1535
105936,1506
105683,1435
106000,1415
104527,1400
126094,1397
104755,1395
103852,1375
104180,1300
104269,1280
105077,1260
104792,1220
111575,1220
126774,1212
106432,1200
103970,1190
104919,1186
105376,1175
104898,1155
105916,1122
105449,1110
104918,1080
105216,1070
105311,1051
104312,1045
105332,1020
104542,995
106421,974
105815,953
105238,950
105992,920
111577,910
126207,903
105357,901
105583,894
111797,888
103898,882
104291,872
104999,870
104468,870
105379,850
104198,850
126203,849
105643,835
109739,831
105526,830
106065,806
105051,794
103893,780
104655,755
106148,753
105932,747
105550,728
105539,726
106210,720
105806,717
106121,711
105062,694
104571,689
111815,682
104871,680
105732,680
105577,673
104678,672
104252,671
111442,669
103333,665
106026,665
105657,662
106044,642
126610,639
105430,634
104022,616
105041,614
104797,602
121669,16
111443,16
126737,16
144909,16
144679,16
105984,15
110539,15
144869,15
200036,15
106301,15
124049,15
126106,15
106410,15
106095,15
200589,15
200418,15
144985,15
106165,15
137230,15
133933,15
104473,15
124126,15
110773,15
105603,15
104813,14
126567,14
134794,14
207764,14
144744,14
126082,14
200640,14
105737,14
104903,14
106387,14
105429,14
126328,14
105852,14
200273,14
202242,14
104781,14
105225,14
103924,14
106416,14
131904,14
134113,14
200255,14
129811,14
200217,13
200587,13
105869,13
133680,13
202420,13
200532,13
105669,13
126101,13
126442,13
105861,13
111568,13
105998,13
200346,13
106207,12
105137,12
126108,12
106206,12
105836,12
105542,12
202104,12
105152,12
123893,12
124022,12
105111,12
105369,12
200039,12
200242,12
133475,12
111436,12
106254,12
200096,12
105470,12
105855,12
144915,12
104644,11
132437,11
202139,11
105552,11
105958,11
144678,11
144815,11
207663,11
105823,11
202366,11
200666,11
200598,11
110617,11
105278,11
200389,11
202315,11
104789,11
105050,11
202146,11
106360,11
122547,11
105560,11
105381,11
126627,11
138431,11
106008,11
122312,11
133997,11
105245,10
122051,10
102863,10
105160,10
105780,10
200713,10
105334,10
200220,10
206589,10
126448,10
144848,10
133945,10
122055,10
134376,10
133450,10
126219,10
121497,10
200015,10
144788,10
124063,10
133820,10
105607,10
125844,10
126372,10
126492,10
122027,10
106035,9
105571,9
106357,9
105464,9
106330,9
105966,9
105969,9
105161,9
105246,9
200345,9
200404,9
105587,9
108717,9
137439,9
202127,9
124185,9
127334,9
126629,9
126505,9
106147,9
200537,9
126353,9
134384,9
126464,9
138791,9
124067,9
132204,9
200462,9
144890,9
133224,9
111739,9
144703,9
111452,9
133471,9
202440,9
202108,9
103794,8
105902,8
123896,8
106425,8
104330,8
200374,8
104070,8
207736,8
144811,8
133018,8
138860,8
200647,8
122474,8
110750,8
109343,8
200713,8
106053,8
133794,8
144925,8
144894,8
126165,8
200343,8
132573,8
106381,8
137653,8
105314,8
106106,8
127036,8
122672,8
106012,8
126590,8
106389,8
121872,8
144650,8
121861,8
126488,8
134068,8
200013,8
132842,8
105525,8
200487,8
134405,8
144641,8
200438,8
127024,7
104631,7
202261,7
106066,7
105399,7
133841,7
105679,7
105661,7
117359,7
104615,7
200441,7
110600,7
144701,7
106074,7
122585,7
121004,7
138846,7
200225,7
144760,7
202158,7
202354,7
200445,7
202324,7
144970,7
126132,7
132806,7
105844,7
132739,7
144935,7
125833,7
105490,7
106255,7
106262,7
125818,7
132299,7
110740,7
132958,7
122592,7
202088,6
104308,6
200573,6
106358,6
145011,6
207609,6
202103,6
120555,6
125829,6
105566,6
126953,6
125827,6
200336,6
132744,6
200384,6
105779,6
202447,6
200125,6
138069,6
111172,6
202235,6
124131,6
202210,6
126166,6
126098,6
126432,6
202125,6
134217,6
124141,6
126715,6
122311,6
105695,5
105714,5
105243,5
105533,5
105824,5
105281,5
207248,5
207659,5
126717,5
207607,5
106289,5
207728,5
132831,5
144917,5
206173,5
136898,5
202299,5
202417,5
144775,5
126201,5
103574,5
133227,5
126131,5
200219,5
106064,5
124089,5
122394,5
202378,5
135146,5
207682,5
121773,5
202439,5
106312,5
202328,5
132999,5
105242,5
106345,5
105262,5
124040,5
111360,5
200562,5
200511,5
106049,5
122241,5
207419,5
132124,5
110762,5
105479,5
134545,5
105043,5
144803,5
134816,5
132712,5
133301,5
109307,5
124074,5
200297,5
133415,4
104395,4
104579,4
103781,4
105012,4
126388,4
126762,4
208021,4
119951,4
208055,4
134490,4
131951,4
207162,4
144813,4
105790,4
105482,4
207415,4
200291,4
126526,4
111580,4
144940,4
104612,4
200608,4
200469,4
200588,4
200206,4
121604,4
133082,4
126107,4
126630,4
200434,4
144831,4
123855,4
200270,4
200692,4
144907,4
200595,4
122591,4
105629,4
121978,4
200473,4
207387,4
202272,4
144681,4
202349,4
144726,4
207331,4
144932,4
131912,4
106089,4
200366,4
105979,4
200199,4
105290,4
134429,4
144733,4
206091,4
200635,4
133667,4
134085,4
206447,4
126552,4
106338,4
126308,4
124050,4
206448,4
202208,4
200643,4
105102,4
127143,4
200315,4
122641,4
200565,4
132307,4
200145,4
111786,4
122609,4
106337,4
207968,3
208080,3
111509,3
132041,3
201985,3
106033,3
126193,3
207400,3
144949,3
105709,3
105601,3
200283,3
144672,3
207181,3
200419,3
200415,3
202262,3
121002,3
127967,3
202355,3
105743,3
106372,3
144661,3
124296,3
120998,3
105066,3
207608,3
200277,3
106274,3
200378,3
134518,3
132058,3
202300,3
200455,3
122646,3
108777,3
122116,3
137186,3
207506,3
144834,3
123993,3
137228,3
126643,3
202385,3
202144,3
125823,3
108766,3
121621,3
200329,3
133218,3
200228,3
106091,3
207418,3
105812,3
105505,3
133251,3
202339,3
200648,3
200307,3
200372,3
105403,3
202150,3
144856,3
122049,3
134000,3
200327,3
131910,3
132791,3
205934,3
205984,3
207139,3
202165,3
104895,3
138758,3
123843,3
110708,3
123915,3
202069,3
105990,3
132794,3
133467,3
104936,3
202273,3
105142,3
202305,3
105414,3
132325,3
200276,3
202094,3
133925,3
132609,3
127466,3
144833,3
126556,3
125793,3
121726,3
130247,3
200390,3
123736,3
202157,3
126321,3
133603,3
106132,3
202275,3
207989,2
208078,2
202181,2
206811,2
104275,2
200223,2
120401,2
202397,2
105935,2
200435,2
104856,2
106399,2
207383,2
207760,2
200711,2
122276,2
103590,2
126338,2
105342,2
123853,2
206313,2
103872,2
200279,2
105330,2
202096,2
133177,2
105401,2
202224,2
126261,2
200610,2
207776,2
121366,2
111507,2
108782,2
206785,2
