match,playerA,playerB,surface,A_points,B_Points
904,460,1," Hard",1.0000,0.5000
1153,233,1," Hard",0.6667,0.4000
1905,245,1," Clay",0.5000,0.4286
3399,230,2," Clay",0.8333,0.6000
1145,46,3," Hard",0.6667,0.2857
1189,142,3," Hard",0.7500,0.5714
27,428,4," Hard",0.8182,0.5000
142,358,4," Hard",0.0000,0.2000
1339,277,4," Hard",0.6000,0.6250
1889,287,4," Clay",0.6667,0.5714
2333,90,4," Hard",1.0000,0.7000
2634,215,4," Hard",0.8000,0.6364
599,140,5," Hard",0.4000,0.2000
724,435,5," Hard",1.0000,0.7143
1618,118,5," Hard",1.0000,0.3333
2759,173,5," Hard",0.0000,0.0000
2666,8,6," Hard",1.0000,0.5000
17,422,7," Hard",0.8000,0.5556
273,371,7," Clay",0.6667,0.6000
1173,125,7," Hard",0.0000,0.5000
1746,424,7," Hard",0.7143,0.5000
2231,384,7," Clay",NULL,0.2000
2344,462,7," Hard",0.0000,0.5000
2642,4,7," Hard",0.0000,0.7143
3146,410,7," Hard",0.7500,0.7500
3472,456,7," Clay",1.0000,0.6000
3531,80,7," Hard",1.0000,0.5000
1612,174,8," Hard",0.8000,0.7857
1962,244,8," Clay",0.7692,0.5556
2151,260,8," Clay",0.7273,0.5556
2252,163,8," Clay",NULL,0.8333
2361,121,8," Hard",0.0000,0.6364
2660,380,8," Hard",0.5000,0.3333
2846,444,8," Hard",0.3333,0.5714
315,220,9," Clay",0.5000,0.5333
380,241,9," Hard",1.0000,0.2857
656,197,9," Hard",0.8333,0.6667
1604,141,9," Hard",0.6250,0.5833
1940,163,9," Clay",0.6667,0.5714
2360,211,9," Hard",0.6923,0.4000
2628,215,9," Hard",0.0000,0.7273
2843,380,9," Hard",0.7692,0.5000
1252,127,10," Hard",0.5000,0.6364
1974,372,10," Clay",0.8571,0.5000
2548,456,11," Clay",0.8182,0.5455
3487,324,11," Clay",0.8000,0.6250
478,122,12," Hard",0.5714,0.2857
921,205,12," Hard",0.5714,0.0000
1075,327,12," Hard",0.3333,0.5455
2745,385,12," Hard",1.0000,0.3333
3154,456,12," Hard",0.8000,0.7857
3548,71,12," Hard",0.6250,0.4286
1035,197,13," Hard",0.0000,0.2857
75,136,14," Clay",0.7000,0.6667
106,176,14," Clay",0.6000,0.5000
155,379,14," Clay",0.5000,0.5833
233,53,14," Clay",0.0000,0.4286
264,208,14," Clay",0.0000,0.5000
1357,419,14," Clay",0.8750,0.3333
1483,226,14," Clay",0.8000,0.7000
1894,371,14," Clay",0.7143,0.6250
2051,281,14," Clay",NULL,0.0000
2164,275,14," Clay",0.8571,0.3333
3204,1,14," Clay",0.7500,0.2857
3384,174,14," Clay",0.5000,0.4000
81,133,15," Clay",1.0000,0.5556
1204,30,16," Hard",NULL,0.5714
417,199,17," Hard",NULL,0.6667
975,51,17," Hard",0.7143,0.3750
1694,233,17," Hard",0.7500,0.2500
1789,55,17," Hard",0.8000,0.3333
2395,366,17," Clay",1.0000,0.3333
2549,235,17," Clay",0.6667,0.5714
455,36,18," Hard",0.3750,0.5625
778,79,18," Hard",0.7778,0.5556
837,314,19," Hard",1.0000,0.5000
2304,417,19," Hard",NULL,0.0000
2569,265,19," Clay",0.5000,0.6000
3340,302,19," Hard",0.2000,0.5556
89,325,20," Hard",0.6000,0.5455
3182,339,21," Hard",NULL,0.7143
673,70,22," Hard",0.8000,0.8182
951,271,22," Hard",0.5000,0.6364
1210,103,22," Hard",1.0000,0.7143
1331,92,22," Hard",0.5833,0.3750
1946,380,22," Clay",NULL,0.3750
2337,272,22," Hard",1.0000,0.4000
2633,384,22," Hard",0.5000,0.8000
2839,403,22," Hard",0.6667,0.6000
2191,83,23," Clay",0.0000,0.3750
1775,337,24," Hard",0.6667,0.5455
1850,57,24," Hard",NULL,0.1667
3550,307,24," Hard",0.3333,0.7778
53,89,25," Hard",NULL,0.4286
770,265,25," Hard",1.0000,0.4286
2149,147,26," Clay",0.6000,0.5385
2268,147,26," Clay",1.0000,0.4286
2366,163,26," Hard",0.3333,0.5000
19,325,27," Hard",1.0000,0.6667
289,84,27," Clay",0.5556,0.5556
563,241,27," Hard",0.6667,0.0000
687,368,27," Hard",0.7778,0.6667
840,368,27," Hard",0.7500,0.6000
1113,241,27," Hard",NULL,NULL
1551,17,27," Hard",1.0000,0.7273
1695,489,27," Hard",0.0000,0.6000
2070,47,27," Clay",0.0000,0.4286
1038,201,28," Hard",0.3333,0.3333
1253,121,28," Hard",0.8000,0.6667
2251,48,28," Clay",0.0000,0.1667
326,55,29," Hard",NULL,0.7000
589,274,29," Hard",1.0000,0.7000
1155,421,29," Hard",NULL,0.5556
1743,336,29," Hard",NULL,0.4000
2000,276,29," Hard",0.0000,0.5556
2050,379,29," Clay",0.6667,0.2857
2441,55,29," Clay",0.7500,0.7500
2698,169,29," Clay",1.0000,0.5714
2903,71,29," Clay",0.5833,0.5385
3209,393,29," Clay",1.0000,0.2500
3584,326,29," Clay",0.5000,0.4444
1178,157,30," Hard",0.6667,0.4286
2111,64,30," Clay",0.5000,0.6923
2217,384,30," Clay",0.8889,0.5000
3163,11,30," Hard",0.8889,0.6667
3485,85,30," Clay",NULL,0.5000
3611,90,30," Clay",0.7143,0.7143
103,387,31," Clay",0.8000,0.6250
670,9,31," Hard",0.2500,0.0000
805,446,31," Hard",1.0000,0.6000
1365,226,31," Clay",1.0000,0.7000
1955,442,31," Clay",0.5000,0.2500
2104,55,31," Clay",0.0000,0.2857
2578,245,31," Clay",0.6250,0.6923
2772,294,31," Clay",0.5556,0.7500
3056,291,31," Clay",0.0000,0.1667
1915,116,32," Clay",0.6667,0.6667
3219,244,32," Clay",NULL,0.0000
14,325,33," Hard",0.7143,0.6667
122,287,33," Hard",0.8182,0.5556
1824,329,34," Hard",1.0000,0.7500
243,376,35," Clay",0.3750,0.3333
281,282,35," Clay",0.0000,0.2500
1208,438,35," Hard",0.6000,0.7000
1368,168,35," Clay",0.6667,0.5714
1494,168,35," Clay",NULL,0.6364
1897,419,35," Clay",0.7500,0.3750
3217,226,35," Clay",0.5000,0.3333
2371,60,36," Hard",0.4286,0.5455
439,199,37," Hard",0.6667,0.3333
739,484,37," Hard",0.6000,0.4000
960,36,37," Hard",0.6000,0.6923
1268,162,37," Hard",1.0000,0.5000
1426,178,37," Hard",0.6154,0.6667
2540,366,37," Clay",1.0000,0.8000
3404,230,38," Clay",NULL,0.3333
659,172,39," Hard",0.7500,0.1667
820,31,39," Hard",0.7500,1.0000
1021,99,39," Hard",0.4000,0.5000
1217,103,39," Hard",NULL,0.5000
1351,406,39," Hard",0.3333,0.5000
1597,460,39," Hard",0.5000,0.0000
1841,99,39," Hard",NULL,0.4444
2110,229,39," Clay",NULL,0.6000
2249,78,39," Clay",1.0000,0.2500
2336,92,39," Hard",0.7143,0.6667
2631,9,39," Hard",0.0000,0.5000
2831,90,39," Hard",1.0000,0.7143
3545,435,39," Hard",1.0000,0.6000
936,12,40," Hard",0.5000,0.3333
1609,99,40," Hard",0.6000,0.4286
2562,329,40," Clay",1.0000,0.7143
3017,309,40," Clay",0.6250,0.2222
3630,3,40," Clay",0.5000,0.5455
2872,138,41," Hard",1.0000,0.6250
1312,69,42," Hard",0.7500,0.0000
1065,327,43," Hard",NULL,0.6250
836,172,44," Hard",0.6250,0.5385
440,17,45," Hard",0.8000,0.5000
861,465,45," Hard",0.6667,0.4444
900,233,45," Hard",0.3333,0.4286
1384,229,45," Clay",NULL,0.3333
1495,352,45," Clay",0.5000,0.3846
1901,245,45," Clay",0.8182,0.7778
2080,136,45," Clay",0.8462,0.1667
2196,303,45," Clay",0.5714,0.5556
3268,166,45," Clay",0.0000,0.2857
3596,29,45," Clay",0.5625,0.6190
2078,205,46," Clay",0.5455,0.5714
2199,365,46," Clay",0.7143,0.7143
905,289,47," Hard",0.5000,0.3750
2793,31,47," Clay",0.7500,0.4000
3470,281,47," Clay",0.6667,0.5455
661,264,48," Hard",0.7500,0.5000
1233,380,48," Hard",0.7500,0.5000
1664,321,48," Hard",0.5000,0.5000
1936,223,48," Clay",1.0000,0.3750
2243,229,48," Clay",0.7500,0.6364
314,135,49," Clay",0.5000,0.4444
480,143,50," Hard",0.0000,0.5455
2375,258,50," Hard",0.5000,0.7000
2678,147,50," Hard",0.6364,0.5000
2876,260,50," Hard",0.9231,0.8571
