id,df_rank
1,1.444444444
2,7
3,2.4
4,2.157894737
5,2.625
6,2.333333333
7,3.888888889
8,5.625
9,3.2
10,7
11,2.5
12,2.916666667
13,3.5
14,3.85
15,4
16,5
17,2.7
18,5.666666667
19,2.428571429
20,3
21,8
22,2.789473684
23,4
24,5.666666667
25,2.25
26,7.75
27,2.958333333
28,4
29,2.545454545
30,3.214285714
31,3.833333333
32,3.142857143
33,1.666666667
34,6
35,3.384615385
36,2.909090909
37,5.153846154
38,6
39,3.714285714
40,2.65
41,2
42,1
43,2.333333333
44,0
45,2.545454545
46,3.125
47,2.5
48,2.75
49,1
50,3.5
51,3.625
52,1.166666667
53,1.923076923
54,3.2
55,2.2
56,4.8
57,3.318181818
58,3.2
59,3.304347826
60,4.583333333
61,3
62,2
63,2.333333333
64,3.3
65,2.111111111
66,2.857142857
67,5.666666667
68,2
69,2.714285714
70,3.454545455
71,1.916666667
72,3
73,7
74,2.25
75,2.333333333
76,6
77,2.862068966
78,2.769230769
79,4
80,1.5
81,4.333333333
82,2
83,3.5
84,3.095238095
85,4.272727273
86,3
87,2.666666667
88,2.666666667
89,2.6
90,3.75
91,6
92,2.954545455
93,5
94,2.894736842
95,3
96,2.818181818
97,2.818181818
98,1.5
99,2.846153846
100,2
101,6
102,2.333333333
103,3.36
104,1.25
105,3.352941176
106,3
107,3
108,5
109,0.5
110,1
111,3.727272727
112,0.833333333
113,3.583333333
114,3
115,4
116,3
117,3
118,1.363636364
119,1.916666667
120,2.7
121,4.6
122,4.157894737
123,1.5
124,2.666666667
125,5.333333333
126,2.45
127,1.764705882
128,1.333333333
129,2.588235294
130,4
131,1.333333333
132,4
133,3.222222222
134,2.5
135,2.4
136,3.34375
137,6
138,2.578947368
139,4.2
140,2.5
141,3.64
142,2.307692308
143,4.125
144,1.6
145,3
146,8.333333333
147,5.058823529
148,2.6
149,2.571428571
150,5
151,2.75
152,2.777777778
153,3.235294118
154,5.2
155,2.333333333
156,3
157,1.458333333
158,1.125
159,5
160,3.25
161,2.421052632
162,2.333333333
163,2.473684211
164,4.4
165,2.25
166,2.130434783
167,5
168,1.9375
169,2.6875
170,3.5
171,4
172,1.96
173,4
174,3.2
175,2
176,2.5
177,2.8
178,3.333333333
179,1
180,2
181,1.764705882
182,2.5
183,1
184,3.153846154
185,2
186,3.666666667
187,3.25
188,2
189,2
190,3.0625
191,3.333333333
192,4.666666667
193,4.0625
194,4
195,3
196,1.5
197,2.9
198,2.448275862
199,4.454545455
200,1.8
201,3.090909091
202,0
203,5
204,1.2
205,2.714285714
206,1.333333333
207,2.8
208,1.263157895
209,2
210,3.4
211,3
212,1.333333333
213,4
214,1.230769231
215,1.75
216,3.75
217,1
218,3.166666667
219,3.225806452
220,1.166666667
221,2.666666667
222,2.095238095
223,3.52
224,3
225,3.260869565
226,1.909090909
227,2.333333333
228,2.846153846
229,1.805555556
230,4.25
231,4.5
232,1.75
233,2.954545455
234,3.6
235,3
236,3.666666667
237,2
238,4
239,2.833333333
240,2.75
241,1.84
242,1
243,5.222222222
244,2.142857143
245,3.642857143
246,2
247,0
248,3.272727273
249,3.75
250,2.25
251,2.611111111
252,2.133333333
253,2.142857143
254,3
255,4.307692308
256,2.076923077
257,2.16
258,4.4
259,1.8
260,3.833333333
261,3.4
262,1.916666667
263,3.3125
264,4.75
265,4.666666667
266,2.363636364
267,2.066666667
268,7.5
269,3.625
270,2.75
271,1.423076923
272,4.473684211
273,3.714285714
274,1.363636364
275,3.481481481
276,1.2
277,2.214285714
278,6
279,2.75
280,3.214285714
281,4.117647059
282,4.2
283,6
284,5.833333333
285,2.75
286,3.916666667
287,2.761904762
288,3.714285714
289,2.615384615
290,2.666666667
291,2.714285714
292,2
293,7
294,1.428571429
295,3.6
296,3.8
297,3.444444444
298,2.5
299,2.117647059
300,4
301,2.5
302,2.52173913
303,2.5
304,1.428571429
305,3
306,1.333333333
307,1.5
308,3
309,2.4
310,1.75
311,3.952380952
312,4
313,2
314,5
315,4.571428571
316,3
317,8
318,2
319,2.076923077
320,4.666666667
321,1.833333333
322,2.2
323,2
324,2.285714286
325,2.5
326,2.384615385
327,1.869565217
328,1
329,3.291666667
330,3
331,0.25
332,2.545454545
333,2
334,4
335,5
336,3.571428571
337,2.833333333
338,3.5
339,1.461538462
340,2.578947368
341,3.666666667
342,2.416666667
343,2.722222222
344,4.666666667
345,4.038461538
346,2.1
347,8
348,5
349,3.923076923
350,3.25
351,3.5
352,6.227272727
353,2.736842105
354,2.714285714
355,2.210526316
356,3
357,2.5
358,2.105263158
359,7.538461538
360,2.5
361,4
362,3
363,1
364,3
365,2.833333333
366,2.625
367,3
368,4.782608696
369,3.333333333
370,1
371,2.333333333
372,6.75
373,2
374,4.4375
375,2.277777778
376,1.533333333
377,1
378,2.5
379,2.444444444
380,2.875
381,2.785714286
382,5
383,3.142857143
384,2.857142857
385,2.166666667
386,1.5
387,1.733333333
388,2
389,4
390,6.166666667
391,2
392,1.818181818
393,1.5
394,3.666666667
395,2.75
396,4
397,3
398,2.625
399,2.3
400,2
401,2.333333333
402,2
403,4.2
404,4
405,3
406,4.909090909
407,2
408,2.8
409,3.5
410,2.222222222
411,2.363636364
412,1.733333333
413,5
414,5.75
415,2.5
416,1
417,2.285714286
418,1.416666667
419,0.761904762
420,4.5625
421,1.818181818
422,2.5625
423,6
424,3.318181818
425,2.75
426,2.454545455
427,5
428,2.461538462
429,1.333333333
430,3.166666667
431,2.777777778
432,3.75
433,2.407407407
434,1.333333333
435,2.538461538
436,3
437,3
438,2.25
439,2.230769231
440,1.8
441,2.333333333
442,3.235294118
443,3.8
444,2.333333333
445,2.470588235
446,0.8
447,2.461538462
448,5
449,1.833333333
450,3
451,2
452,3.846153846
453,3.1
454,4.166666667
455,2.25
456,3.894736842
457,6.5
458,3.2
459,2.666666667
460,2.71875
461,3
462,2.75
463,3
464,1.555555556
465,3.1875
466,5.166666667
467,3
468,3
469,1
470,5.666666667
471,4.5
472,3.277777778
473,1.333333333
474,2.875
475,3
476,5
477,2.2
478,4.5
479,1.5
480,2.333333333
481,1.333333333
482,3.333333333
483,3.2
484,1.428571429
485,3.25
486,2.357142857
487,3.777777778
488,3.3
489,1.956521739
490,2.333333333
