id,indice,valor_cierre,fecha_cierre, variacion_semanal 
1,tenis,1.101636057,01-ene, 0.10 
2,tenis,1.195833768,08-ene, 0.09 
3,tenis,1.262006862,15-ene, 0.06 
4,tenis,1.315827591,22-ene, 0.04 
5,tenis,1.356779254,29-ene, 0.03 
6,tenis,1.27865643,05-feb,-0.06 
7,tenis,1.456826518,12-feb, 0.14 
8,tenis,1.663958286,19-feb, 0.14 
9,tenis,1.555022941,26-feb,-0.07 
10,tenis,1.825468473,05-mar, 0.17 
11,tenis,2.068228778,12-mar, 0.13 
12,tenis,2.309783248,19-mar, 0.12 
13,tenis,2.203172213,26-mar,-0.05 
14,tenis,2.452770492,02-abr, 0.11 
15,tenis,2.46093644,09-abr, 0.00 
16,tenis,2.502785519,16-abr, 0.02 
17,tenis,2.400522593,23-abr,-0.04 
18,tenis,2.524213581,30-abr, 0.05 
19,tenis,2.711025858,07-may, 0.07 
20,tenis,2.892150166,14-may, 0.07 
21,tenis,2.912710263,21-may, 0.01 
22,espania, 1.07 ,15/08/2016, 0.07 
23,espania,1.164750039,23/08/2016, 0.09 
24,espania,0.810957215,31/08/2016,-0.30 
25,espania,0.901480314,08/09/2016, 0.11 
26,espania,1.005854831,16/09/2016, 0.12 
27,espania,1.005854831,24/09/2016,0
28,espania,0.62865927,02/10/2016,-0.38 
29,espania,0.691368032,10/10/2016, 0.10 
30,espania,0.691368032,18/10/2016,0
31,espania,0.807949966,26/10/2016, 0.17 
32,espania,0.807949966,03/11/2016,0
33,espania,0.954744376,11/11/2016, 0.18 
34,espania,0.954744376,19/11/2016,0
35,espania,1.03637502,27/11/2016, 0.09 
36,espania,1.03637502,05/12/2016,0
37,espania,1.03637502,13/12/2016,0
38,espania,1.143445514,21/12/2016, 0.10 
39,espania,1.287376718,29/12/2016, 0.13 
40,espania,1.287376718,06/01/2017,0
41,espania,1.291962998,14/01/2017, 0.00 
42,espania,1.305770852,22/01/2017, 0.01 
43,espania,1.547664902,30/01/2017, 0.19 
44,espania,1.58074624,07/02/2017, 0.02 
45,espania,1.58074624,15/02/2017,0
46,espania,1.704637226,23/02/2017, 0.08 
47,espania,1.996130192,03/03/2017, 0.17 
48,espania,2.138354468,11/03/2017, 0.07 
49,espania,2.138354468,19/03/2017,0
50,espania,2.138354468,27/03/2017,0
51,espania,2.285633632,04/04/2017, 0.07 
52,espania,1.931360419,12/04/2017,-0.16 
53,espania,1.931360419,20/04/2017,0
54,espania,1.931360419,28/04/2017,0
55,espania,2.21116626,06/05/2017, 0.14 
56,espania,1.954118182,14/05/2017,-0.12 
57,espania,2.158323532,22/05/2017, 0.10 
58,espania,2.158323532,30/05/2017,0
59,espania,2.459733413,07/06/2017, 0.14 
60,espania,2.611621952,15/06/2017, 0.06 
61,espania,2.611621952,23/06/2017,0
62,espania,2.927954661,01/07/2017, 0.12 
63,espania,3.27217233,09/07/2017, 0.12 
64,espania,3.901656482,17/07/2017, 0.19 
65,espania,4.012853692,25/07/2017, 0.03 
66,espania,4.584685343,02/08/2017, 0.14 
67,espania,4.043119387,10/08/2017,-0.12 
68,espania,4.043119387,18/08/2017,0
69,espania,4.792107254,26/08/2017, 0.19 
70,espania,4.792107254,03/09/2017,0
71,espania,4.996969839,11/09/2017, 0.04 
72,espania,3.310492518,19/09/2017,-0.34 
73,espania,3.310492518,27/09/2017,0
74,espania,3.483465752,05/10/2017, 0.05 
75,espania,3.483465752,13/10/2017,0
76,espania,3.855761154,21/10/2017, 0.11 
77,espania,3.855761154,29/10/2017,0
78,espania,3.855761154,06/11/2017,0
79,espania,3.855761154,14/11/2017,0
80,espania,3.855761154,22/11/2017,0
81,espania,3.855761154,30/11/2017,0
82,espania,4.103011838,08/12/2017, 0.06 
83,espania,4.103011838,16/12/2017,0
84,espania,4.585372168,24/12/2017, 0.12 
85,espania,4.76506144,01/01/2018, 0.04 
86,espania,4.76506144,09/01/2018,0
87,espania,4.76506144,17/01/2018,0
88,espania,5.01969441,25/01/2018, 0.05 
89,espania,5.341582314,02/02/2018, 0.06 
90,espania,5.785601344,10/02/2018, 0.08 
91,espania,3.941440916,18/02/2018,-0.32 
92,espania,3.941440916,26/02/2018,0
93,espania,4.320558264,06/03/2018, 0.10 
94,espania,4.674574007,14/03/2018, 0.08 
95,espania,4.957677895,22/03/2018, 0.06 
96,espania,4.957677895,30/03/2018,0
97,espania,4.957677895,07/04/2018,0
98,espania,5.3462359,15/04/2018, 0.08 
99,espania,5.3462359,23/04/2018,0
100,espania,5.936660827,01/05/2018, 0.11 
101,espania,5.936660827,09/05/2018,0
102,espania,5.936660827,17/05/2018,0
103,espania,5.16489492,25/05/2018,-0.13 
104,espania,5.16489492,02/06/2018,0
105,premiere,1,01/08/2016,0
106,premiere,1.0855,08/08/2016, 0.09 
107,premiere,1.0855,15/08/2016,0
108,premiere,1.0855,01/09/2016,0
109,premiere,0.763920625,08/09/2016,-0.30 
110,premiere,0.763920625,15/09/2016,0
111,premiere,0.763920625,22/09/2016,0
112,premiere,0.840121707,01/10/2016, 0.10 
113,premiere,0.840121707,08/10/2016,0
114,premiere,0.929909715,15/10/2016, 0.11 
115,premiere,0.929909715,22/10/2016,0
116,premiere,0.929909715,29/10/2016,0
117,premiere,1.092237079,01/11/2016, 0.17 
118,premiere,1.188217413,08/11/2016, 0.09 
119,premiere,1.255945805,15/11/2016, 0.06 
120,premiere,0.874452267,01/12/2016,-0.30 
121,premiere,0.546532667,08/12/2016,-0.38 
122,premiere,0.645830821,15/12/2016, 0.18 
123,premiere,0.645830821,22/12/2016,0
124,premiere,0.705650901,29/12/2016, 0.09 
125,premiere,0.705650901,01/01/2017,0
126,premiere,0.806206154,08/01/2017, 0.14 
127,premiere,0.5764374,15/01/2017,-0.29 
128,premiere,0.360273375,22/01/2017,-0.38 
129,premiere,0.360273375,29/01/2017,0
130,premiere,0.435998335,01/02/2017, 0.21 
131,premiere,0.435998335,08/02/2017,0
132,premiere,0.435998335,15/02/2017,0
133,premiere,0.435998335,22/02/2017,0
134,premiere,0.435998335,01/03/2017,0
135,premiere,0.435998335,01/03/2017,0
136,premiere,0.435998335,08/03/2017,0
137,premiere,0.435998335,15/03/2017,0
138,premiere,0.437551579,01/04/2017, 0.00 
139,premiere,0.478859183,08/04/2017, 0.09 
140,premiere,0.577803461,15/04/2017, 0.21 
141,premiere,0.577803461,22/04/2017,0
142,premiere,0.577803461,29/04/2017,0
143,premiere,0.513883954,01/05/2017,-0.11 
144,premiere,0.574297436,08/05/2017, 0.12 
145,premiere,0.643859213,15/05/2017, 0.12 
146,premiere,0.705025838,01/08/2017, 0.10 
147,premiere,0.705025838,08/08/2017,0
148,premiere,0.707537493,15/08/2017, 0.00 
149,premiere,0.707537493,01/09/2017,0
150,premiere,0.775593755,08/09/2017, 0.10 
151,premiere,0.851117197,15/09/2017, 0.10 
152,premiere,0.851117197,22/09/2017,0
153,premiere,0.851117197,01/10/2017,0
154,premiere,0.851117197,08/10/2017,0
155,premiere,0.589398659,15/10/2017,-0.31 
156,premiere,0.669188502,22/10/2017, 0.14 
157,premiere,0.669188502,29/10/2017,0
158,premiere,0.669188502,01/11/2017,0
159,premiere,0.781235752,08/11/2017, 0.17 
160,premiere,0.853597714,15/11/2017, 0.09 
161,premiere,0.973208093,22/11/2017, 0.14 
162,premiere,1.095710662,01/12/2017, 0.13 
163,premiere,1.126938416,08/12/2017, 0.03 
164,premiere,1.273074155,15/12/2017, 0.13 
165,premiere,1.273074155,22/12/2017,0
166,premiere,1.390992649,29/12/2017, 0.09 
167,premiere,1.480190052,01/01/2018, 0.06 
168,premiere,1.480190052,08/01/2018,0
169,premiere,1.645416267,15/01/2018, 0.11 
170,premiere,1.645416267,22/01/2018,0
171,premiere,1.856440903,29/01/2018, 0.13 
172,premiere,1.975485176,01/02/2018, 0.06 
173,premiere,2.151426825,08/02/2018, 0.09 
174,premiere,2.151426825,15/02/2018,0
175,premiere,2.151426825,22/02/2018,0
176,premiere,2.151426825,01/03/2018,0
177,premiere,2.151426825,08/03/2018,0
178,premiere,2.389025025,15/03/2018, 0.11 
179,premiere,2.542221254,22/03/2018, 0.06 
180,premiere,2.542221254,01/04/2018,0
181,premiere,2.786751161,08/04/2018, 0.10 
182,premiere,2.044778665,15/04/2018,-0.27 
183,premiere,2.07877311,22/04/2018, 0.02 
184,premiere,2.212074435,29/04/2018, 0.06 
185,premiere,2.212074435,06/05/2018,0
186,premiere,1.106037218,01/05/2018,-0.50 
187,premiere,1.172233545,08/05/2018, 0.06 
188,francia, 1.04 ,15/08/2016, 0.04 
189,francia, 1.09 ,22/08/2016, 0.05 
190,francia, 0.88 ,29/08/2016,-0.20 
191,francia, 1.02 ,05/09/2016, 0.16 
192,francia, 1.22 ,12/09/2016, 0.20 
193,francia, 0.31 ,19/09/2016,-0.75 
194,francia, 0.31 ,26/09/2016,0
195,francia, 0.36 ,03/10/2016, 0.17 
196,francia, 0.24 ,10/10/2016,-0.32 
197,francia, 0.24 ,17/10/2016,0
198,francia, 0.25 ,24/10/2016, 0.03 
199,francia, 0.25 ,31/10/2016,0
200,francia, 0.25 ,07/11/2016,0
201,francia, 0.31 ,14/11/2016, 0.26 
202,francia, 0.38 ,21/11/2016, 0.22 
203,francia, 0.10 ,28/11/2016,-0.75 
204,francia, 0.11 ,05/12/2016, 0.15 
205,francia, 0.03 ,12/12/2016,-0.75 
206,francia, 0.03 ,19/12/2016,0
207,francia, 0.03 ,26/12/2016,0
208,francia, 0.03 ,02/01/2017,0
209,francia, 0.03 ,09/01/2017,0
210,francia, 0.03 ,16/01/2017, 0.10 
211,francia, 0.04 ,23/01/2017, 0.22 
212,francia, 0.04 ,30/01/2017,0
213,francia, 0.05 ,06/02/2017, 0.27 
214,francia, 0.06 ,13/02/2017, 0.29 
215,francia, 0.06 ,20/02/2017,0
216,francia, 0.07 ,27/02/2017, 0.19 
217,francia, 0.07 ,06/03/2017,0
218,francia, 0.07 ,13/03/2017,0
219,francia, 0.09 ,20/03/2017, 0.30 
220,francia, 0.12 ,27/03/2017, 0.27 
221,francia, 0.12 ,03/04/2017,0
222,francia, 0.13 ,10/04/2017, 0.09 
223,francia, 0.17 ,17/04/2017, 0.31 
