id,name,sum(B.l_ace),count(*)
1,"Adam Pavlasek",27,7
2,"Adelchi Virgili",2,1
3,"Adrian Bodmer",14,3
4,"Adrian Menendez Maceiras",28,7
5,"Adrien Bossel",34,5
6,"Agustin Velotti",14,2
7,"Aldin Setkic",58,13
8,"Alejandro Gomez Gb42",66,7
9,"Alejandro Gonzalez",18,9
10,"Alejandro Mendoza",13,2
11,"Aleksandr Nedovyesov",15,5
12,"Alessandro Bega",14,8
13,"Alessandro Damiano Ventre",4,1
14,"Alessandro Giannessi",18,12
15,"Alessandro Motti",7,1
16,"Alessandro Petrone",3,1
17,"Alex Bolt",58,7
18,"Alexander Babanine",6,3
19,"Alexander Bury",26,4
20,"Alexander Lazov",9,1
21,"Alexander Pavlioutchenkov",6,1
22,"Alexander Sarkissian",65,9
23,"Alexander Vasilenko",1,2
24,"Alexander Ward",13,3
25,"Alexander Zhurbin",5,3
26,"Alexandr Igoshin",12,3
27,"Alexey Vatutin",15,11
28,"Alexios Halebian",24,4
29,"Andrea Arnaboldi",35,13
30,"Andrea Basso",34,7
31,"Andrea Collarini",25,10
32,"Andreas Haider Maurer",17,3
33,"Andreas Seppi",26,2
34,"Andreas Siljestrom",5,1
35,"Andrej Martin",17,8
36,"Andrew Harris",5,5
37,"Andrew Whittington",66,8
38,"Andrey Yakovlev",0,1
39,"Ante Pavic",110,13
40,"Antoine Escoffier",39,9
41,"Antonio Ruiz Rosales",0,1
42,"Arata Onozawa",7,1
43,"Arjun Kadhe",5,2
44,"Arnau Dachs",4,1
45,"Arthur De Greef",37,12
46,"Aslan Karatsev",10,4
47,"Attila Balazs",9,5
48,"Austin Krajicek",58,7
49,"Axel Michon",0,1
50,"Benjamin Lock",37,4
51,"Benjamin Mitchell",13,3
52,"Bernard Tomic",10,2
53,"Bjorn Fratangelo",25,5
54,"Blaz Kavcic",11,4
55,"Blaz Rola",43,10
56,"Boris Arias",9,3
57,"Bradley Klahn",54,9
58,"Bradley Mousley",70,10
59,"Brayden Schnur",66,12
60,"Brydan Klein",67,10
61,"Caio Silva",2,1
62,"Calum Puttergill",1,1
63,"Cameron Norrie",23,6
64,"Carlos Berlocq",2,2
65,"Carlos Boluda Purkiss",4,5
66,"Carlos Gomez Herrera",24,8
67,"Cheng Peng Hsieh",13,4
68,"Cheng Yu Yu",13,1
69,"Cheong Eui Kim",19,5
70,"Christian Garin",38,10
71,"Christian Harrison",43,11
72,"Christian Lindell",2,1
73,"Christopher Diaz Figueroa",8,2
74,"Christopher Oconnell",12,2
75,"Christopher Rungkat",1,3
76,"Chuhan Wang",6,2
77,"Constant Lestienne",48,10
78,"Cristian Rodriguez",18,6
79,"Dane Propoggia",7,3
80,"Daniel Brands",20,2
81,"Daniel Dutra Da Silva",10,3
82,"Daniel Evans",6,2
83,"Daniel Gimeno Traver",11,7
84,"Daniel Masur",27,9
85,"Daniel Munoz De La Nava",36,8
86,"Daniel Nguyen",1,2
87,"Daniel Yoo",3,3
88,"Daniiar Duldaev",3,2
89,"Daniil Medvedev",5,1
90,"Danilo Petrovic",82,9
91,"Dante Gennaro",3,1
92,"Darian King",14,11
93,"Dario Acosta",0,1
94,"David Guez",14,6
95,"David Pel",9,1
96,"David Vega Hernandez",6,6
97,"Dayne Kelly",30,8
98,"Denis Istomin",11,2
99,"Denis Kudla",32,9
100,"Denis Matsukevitch",2,1
101,"Dennis Nevolo",1,1
102,"Dennis Novak",28,8
103,"Dennis Novikov",77,10
104,"Denys Molchanov",4,3
105,"Di Wu",29,11
106,"Dimitar Kuzmanov",9,4
107,"Divij Sharan",5,1
108,"Donald Young",2,2
109,"Dorian Descloix",10,2
110,"Dragos Dima",2,1
111,"Dudi Sela",5,6
112,"Dusan Lajovic",4,1
113,"Dustin Brown",26,6
114,"Dzmitry Zhyrmont",6,1
115,"Edoardo Eremin",14,2
116,"Eduard Esteve Lobato",1,2
117,"Edward Bourchier",3,2
118,"Edward Corrie",35,7
119,"Egor Gerasimov",13,5
120,"Elias Ymer",35,8
121,"Emilio Gomez",20,7
122,"Enrique Lopez Perez",42,10
123,"Enzo Couacaud",6,2
124,"Erik Crepaldi",10,4
125,"Ernests Gulbis",66,9
126,"Evan King",53,12
127,"Evan Song",29,6
128,"Evgeny Donskoy",21,3
129,"Evgeny Karlovskiy",49,8
130,"Fabrice Martin",18,2
131,"Fabricio Neis",3,2
132,"Facundo Arguello",9,6
133,"Facundo Bagnis",37,7
134,"Farrukh Dustov",4,2
135,"Federico Coria",5,7
136,"Federico Gaio",54,13
137,"Federico Zeballos",25,4
138,"Felipe Mantilla",31,8
139,"Fernando Romboli",18,4
140,"Filip Horansky",7,4
141,"Filip Peliwo",45,12
142,"Filippo Baldi",7,6
143,"Flavio Cipolla",4,3
144,"Florian Mayer",11,2
145,"Francesco Garzelli",0,1
146,"Francisco Dias",5,3
147,"Franco Agamenone",17,9
148,"Franco Skugor",16,3
149,"Frank Dancevic",27,6
150,"Frederico Ferreira Silva",8,2
151,"Frederico Gil",11,3
152,"Frederik Nielsen",23,6
153,"Gastao Elias",16,8
154,"Gavin Van Peperzeel",11,3
155,"Gerard Granollers",14,13
156,"Germain Gigounon",2,2
157,"Gianluigi Quinzi",24,6
158,"Gianni Mina",10,3
159,"Gibril Diarra",24,2
160,"Gilles Simon",8,2
161,"Gleb Sakharov",39,10
162,"Go Soeda",35,10
163,"Gonzalo Escobar",15,6
164,"Gonzalo Lama",4,3
165,"Gonzalo Villanueva",1,2
166,"Gregoire Barrere",15,4
167,"Grzegorz Panfil",6,2
168,"Guido Andreozzi",20,8
169,"Guilherme Clezar",31,8
170,"Guillermo Duran",14,3
171,"Guillermo Garcia Lopez",4,1
172,"Guillermo Olaso",25,9
173,"Harri Heliovaara",9,1
174,"Henri Laaksonen",34,9
175,"Henry Craig",0,1
176,"Hernan Casanova",1,6
177,"Hiroki Moriya",19,9
178,"Hiroyasu Ehara",9,4
179,"Hong Chung",1,1
180,"Hsien Yin Peng",1,1
181,"Hugo Dellien",7,3
182,"Hugo Nys",13,2
183,"Igor Sijsling",17,5
184,"Inigo Cervantes Huegun",39,9
185,"Ivan Dodig",2,1
186,"Ivan Endara",8,4
187,"Ivan Nedelko",17,7
188,"Ivan Sabanov",2,2
189,"Ivan Sergeyev",1,1
190,"Jacob Grills",26,10
191,"Jae Hwan Kim",16,3
192,"James Frawley",3,3
193,"James Ward",49,4
194,"Jan Hernych",6,1
195,"Jan Satral",7,7
196,"Jared Donaldson",2,1
197,"Jared Hiltzik",40,9
198,"Jason Jung",24,10
199,"Jason Kubler",41,9
200,"Javier Marti",1,4
201,"Jc Aragone",56,11
202,"Jea Moon Lee",1,1
203,"Jeevan Nedunchezhiyan",2,1
204,"Jeremy Chardy",8,3
205,"Jeremy Jahn",30,11
206,"Ji Sung Nam",0,1
207,"Jiri Vesely",10,1
208,"Joao Domingues",9,9
209,"Joao Lucas Magalhaes Hueb De Menezes",2,1
210,"Joao Pedro Sorgi",12,5
211,"Joao Souza",33,10
212,"Joffrey De Schepper",18,2
213,"Johan Sebastien Tatlot",4,1
214,"John Millman",7,2
215,"John Patrick Smith",29,7
216,"Jonathan Eysseric",8,3
217,"Jonathan Hilaire",0,1
218,"Jonathan Kanar",12,4
219,"Jordan Thompson",18,8
220,"Jordi Samper Montana",2,2
221,"Jorge Brian Panta Herreros",5,2
222,"Joris De Loore",49,7
223,"Jose Hernandez",17,10
224,"Jose Pereira",0,1
225,"Jose Rubin Statham",79,13
226,"Jozef Kovalik",29,9
227,"Juan Carlos Saez",6,2
228,"Juan Ignacio Galarza",20,7
229,"Juan Ignacio Londero",21,9
230,"Julian Lenz",27,5
231,"Jung Woong Na",2,3
232,"Jurgen Melzer",7,3
233,"Jurgen Zopp",32,9
234,"Kaichi Uchida",46,11
235,"Kamil Majchrzak",30,11
236,"Karim Mohamed Maamoun",10,3
237,"Karue Sell",5,2
238,"Karunuday Singh",1,1
239,"Kei Nishikori",7,1
240,"Ken Onishi",4,2
