SET,playerA,playerB,Surface,Type,A_points,B_Points
2710,460,1,Hard,2,6,3
3457,233,1,Hard,2,7,5
5713,245,1,Clay,2,6,3
10195,230,2,Clay,2,6,2
3433,46,3,Hard,2,6,2
3565,142,3,Hard,2,5,7
79,428,4,Hard,2,3,6
424,358,4,Hard,2,6,3
4015,277,4,Hard,2,7,6
5665,287,4,Clay,2,6,4
6997,90,4,Hard,2,7,5
7900,215,4,Hard,2,6,4
1795,140,5,Hard,2,4,6
2170,435,5,Hard,2,7,6
4852,118,5,Hard,2,6,2
8275,173,5,Hard,2,7,6
7996,8,6,Hard,2,6,3
49,422,7,Hard,2,7,5
817,371,7,Clay,2,6,3
3517,125,7,Hard,2,7,6
5236,424,7,Hard,2,3,6
6691,384,7,Clay,2,6,3
7030,462,7,Hard,2,6,2
7924,4,7,Hard,2,7,6
9436,410,7,Hard,2,4,6
10414,456,7,Clay,2,6,3
10591,80,7,Hard,2,6,2
4834,174,8,Hard,2,7,5
5884,244,8,Clay,2,6,3
6451,260,8,Clay,2,3,6
6754,163,8,Clay,2,7,6
7081,121,8,Hard,2,2,6
7978,380,8,Hard,2,6,3
8536,444,8,Hard,2,2,6
943,220,9,Clay,2,6,3
1138,241,9,Hard,2,6,2
1966,197,9,Hard,2,7,5
4810,141,9,Hard,2,4,6
5818,163,9,Clay,2,6,4
7078,211,9,Hard,2,0,6
7882,215,9,Hard,2,6,3
8527,380,9,Hard,2,5,7
3754,127,10,Hard,2,6,3
5920,372,10,Clay,2,6,1
7642,456,11,Clay,2,4,6
10459,324,11,Clay,2,6,4
1432,122,12,Hard,2,6,4
2761,205,12,Hard,2,7,6
3223,327,12,Hard,2,6,3
8233,385,12,Hard,2,6,3
9460,456,12,Hard,2,6,4
10642,71,12,Hard,2,1,6
3103,197,13,Hard,2,6,4
223,136,14,Clay,2,7,6
316,176,14,Clay,2,6,4
463,379,14,Clay,2,6,2
697,53,14,Clay,2,6,4
790,208,14,Clay,2,6,1
4069,419,14,Clay,2,7,5
4447,226,14,Clay,2,2,6
5680,371,14,Clay,2,3,6
6490,275,14,Clay,2,2,0
9610,1,14,Clay,2,6,1
10150,174,14,Clay,2,6,4
241,133,15,Clay,2,6,3
3610,30,16,Hard,2,6,4
1249,199,17,Hard,2,6,3
2923,51,17,Hard,2,6,2
5080,233,17,Hard,2,7,5
5365,55,17,Hard,2,3,6
7183,366,17,Clay,2,6,1
7645,235,17,Clay,2,6,2
1363,36,18,Hard,2,5,7
2332,79,18,Hard,2,6,3
2509,314,19,Hard,2,7,5
6910,417,19,Hard,2,2,0
7705,265,19,Clay,2,3,6
10018,302,19,Hard,2,3,6
265,325,20,Hard,2,7,6
9544,339,21,Hard,2,6,2
2017,70,22,Hard,2,6,4
2851,271,22,Hard,2,3,6
3628,103,22,Hard,2,7,6
3991,92,22,Hard,2,0,6
5836,380,22,Clay,2,6,0
7009,272,22,Hard,2,6,3
7897,384,22,Hard,2,7,6
8515,403,22,Hard,2,7,6
6571,83,23,Clay,2,6,3
5323,337,24,Hard,2,6,3
5548,57,24,Hard,2,6,0
10648,307,24,Hard,2,7,6
157,89,25,Hard,2,6,2
2308,265,25,Hard,2,6,3
6445,147,26,Clay,2,6,3
6802,147,26,Clay,2,6,0
7096,163,26,Hard,2,6,1
55,325,27,Hard,2,6,4
865,84,27,Clay,2,1,6
1687,241,27,Hard,2,7,6
2059,368,27,Hard,2,6,4
2518,368,27,Hard,2,7,6
4651,17,27,Hard,2,6,3
5083,489,27,Hard,2,6,3
6208,47,27,Clay,2,6,4
3112,201,28,Hard,2,7,6
3757,121,28,Hard,2,3,6
