id,id_externo,name,rp,fst,fsd,sst,ssd,tst,tsd,df,ace,bpt,bpd
239,105453,"Kei Nishikori",1710,5,4,6,3.6,5,5,2.833333333,3.166666667,0.57332,0.58094
289,105916,"Marton Fucsovics",1122,6.285714286,3.571428571,5.142857143,2.857142857,4.5,4.5,2.615384615,3.615384615,0.6802,0.602971429
425,105449,"Steve Johnson",1110,5,4.333333333,6.333333333,5,6,4,2.75,7,0.6889,0.663466667
33,104312,"Andreas Seppi",1045,5.25,4.875,6.125,4.25,6.333333333,5.333333333,1.666666667,6,0.6465375,0.676725
89,106421,"Daniil Medvedev",974,6.2,2.6,5.6,3.4,4,6,2.6,6.6,0.5,0.46286
434,105815,"Tennys Sandgren",953,4,6,4.5,6,0,0,1.333333333,8,0.5,0.5
196,111577,"Jared Donaldson",910,4.5,5,5,6,0,0,1.5,3.5,0.59165,0.5
214,105357,"John Millman",901,6.25,3.75,5.375,3,5,4.666666667,1.230769231,5,0.412966667,0.353711111
112,105583,"Dusan Lajovic",894,6.25,3.75,5,3,6,3,0.833333333,3.666666667,0.8125,0.505575
267,104291,"Malek Jaziri",872,5.111111111,5.555555556,3.333333333,5.333333333,6.333333333,4.333333333,2.066666667,3.533333333,0.420811111,0.593288889
160,104468,"Gilles Simon",870,5.5,4.5,6,2.5,3,6,3.25,4.5,0.64105,0.54615
171,104198,"Guillermo Garcia Lopez",850,4.5,4.5,5,5,0,0,4,3.666666667,0.8125,0.55
306,109739,"Maximilian Marterer",831,6,3,5.5,3.75,6,7,1.333333333,7.111111111,0.554175,0.373825
274,106065,"Marco Cecchinato",806,5,4.25,5.75,3.9375,5.5,3.25,1.363636364,4.181818182,0.63466875,0.559
297,105051,"Matthew Ebden",794,5.5,4.375,4.875,4.125,2.333333333,3.333333333,3.444444444,5.555555556,0.5243,0.51945
347,103893,"Paolo Lorenzi",780,7,6,1,6,3,6,8,8,0.3333,0.75
379,106148,"Roberto Carballes Baena",753,5.666666667,3.5,5.5,4,6,0,2.444444444,3.444444444,0.675933333,0.48095
341,105932,"Nikoloz Basilashvili",747,3.5,5,4,4.5,0,0,3.666666667,1.333333333,0.73235,0.8
128,105539,"Evgeny Donskoy",726,6,4.8,5.5,4.25,7,6,1.333333333,4.555555556,0.63204,0.66668
207,106210,"Jiri Vesely",720,6.333333333,3.666666667,5.333333333,3,6,2,2.8,6.2,0.65,0.298933333
325,105806,"Mirza Basic",717,5.625,5.625,5.5,4.625,6,4.4,2.5,6.9,0.663325,0.617
432,106121,"Taro Daniel",711,6.25,3.25,2.25,6,3.75,6,3.75,2.5,0.524325,0.642375
321,105062,"Mikhail Kukushkin",694,6,4.25,6.25,4,7,5,1.833333333,3.666666667,0.59375,0.5625
276,104571,"Marcos Baghdatis",689,4.5,5,4.75,3.25,6,3,1.2,5.4,0.288975,0.622225
63,111815,"Cameron Norrie",682,4.416666667,4.75,4.916666667,4.5,6,3.5,2.333333333,3.916666667,0.540758333,0.515591667
204,104871,"Jeremy Chardy",680,4.5,4.5,6,3.5,0,6,1.2,3.2,0.549033333,0.366666667
362,105732,"Pierre Hugues Herbert",680,3.333333333,6,6,4.333333333,6.5,5,3,12,0.627,0.6349
460,105577,"Vasek Pospisil",673,5.428571429,5.047619048,5.476190476,3.714285714,5.5,3.5,2.71875,6.90625,0.569033333,0.577185714
144,104252,"Florian Mayer",671,5.75,5.75,5.25,4.5,3,6,1.6,5,0.666675,0.5682
219,111442,"Jordan Thompson",669,5.086956522,4.173913043,4.782608696,4.043478261,5,4.2,3.225806452,3.709677419,0.568113043,0.464804348
486,106026,"Yuki Bhambri",665,5,5,5.8,3.5,5.2,3.6,2.357142857,2.428571429,0.53989,0.46218
282,105657,"Marius Copil",662,4.8,3.6,4.8,3.8,6,4,4.2,5.8,0.51428,0.40228
369,105430,"Radu Albot",634,5.6,5,4.8,5.2,5,5.666666667,3.333333333,1.666666667,0.45596,0.52054
322,104022,"Mikhail Youzhny",616,4.333333333,6.333333333,2.333333333,3,7,6,2.2,2.4,0.671433333,0.5139
262,105041,"Lukas Lacko",614,5,3.909090909,5.181818182,4.818181818,5,5,1.916666667,7.75,0.579681818,0.698236364
98,104797,"Denis Istomin",602,5,6.5,4,6,0,0,1.5,5.5,0.16665,0.91665
468,111443,"Vladimir Polyakov",16,1,6,2,6,0,0,3,1.333333333,0.2778,0
409,105984,"Seong Gook Oh",15,6,7,3,6,0,0,3.5,3.5,0.4286,0
221,106410,"Jorge Brian Panta Herreros",15,2.333333333,6,4.333333333,5.666666667,6,0,2.666666667,3.666666667,0.572,0.657133333
61,105861,"Caio Silva",13,3,6,1,6,0,0,3,2,0.2,0
314,111568,"Michael Zhu",13,5,4,5,5.5,0,0,5,1.333333333,0.7778,0.65
356,105137,"Pere Riba",12,6,4,5.666666667,5,4,6,3,4.333333333,0.691166667,0.083333333
202,106206,"Jea Moon Lee",12,7,6,6,3,0,0,0,1.5,0,0.4286
186,105111,"Ivan Endara",12,4.4,4.2,4.6,4.6,3,4,3.666666667,2.333333333,0.37184,0.43492
62,106254,"Calum Puttergill",12,0,6,1,6,0,0,2,1,0.2857,1
310,105050,"Michael Look",11,5,4,3.333333333,2.666666667,0,0,1.75,4.5,0.541666667,0.655566667
437,105381,"Thales Turini",11,2,6,3,6,0,0,3,0,0,0.75
170,105160,"Guillermo Duran",10,3,6,2,6,0,0,3.5,5.25,0.8333,1
463,105780,"Victor Nunez",10,2,6,1,6,0,0,3,0,0.375,1
260,105334,"Luis David Martinez",10,4.777777778,4.111111111,5.333333333,4.111111111,5,5.75,3.833333333,5.5,0.58905,0.47082
131,105571,"Fabricio Neis",9,5,6,4.5,4,1,3,1.333333333,2.333333333,0.375,0.472233333
191,106357,"Jae Hwan Kim",9,2.666666667,5.333333333,4.666666667,6.333333333,3,6,3.333333333,5.333333333,0.522366667,0.8
75,105464,"Christopher Rungkat",9,2,6,4,6.5,0,0,2.333333333,0.333333333,0.5375,0.66665
192,111452,"James Frawley",9,4.5,5,2.5,6,2,6,4.666666667,1,0.76175,0.5
