id,name,sum(A.w_df),count(*)
1,"Adam Pavlasek",14,11
2,"Adelchi Virgili",0,0
3,"Adrian Bodmer",4,2
4,"Adrian Menendez Maceiras",24,12
5,"Adrien Bossel",9,3
6,"Agustin Velotti",7,1
7,"Aldin Setkic",19,5
8,"Alejandro Gomez Gb42",42,9
9,"Alejandro Gonzalez",35,11
10,"Alejandro Mendoza",0,0
11,"Aleksandr Nedovyesov",15,7
12,"Alessandro Bega",15,4
13,"Alessandro Damiano Ventre",2,1
14,"Alessandro Giannessi",25,8
15,"Alessandro Motti",0,0
16,"Alessandro Petrone",0,0
17,"Alex Bolt",27,13
18,"Alexander Babanine",0,0
19,"Alexander Bury",3,3
20,"Alexander Lazov",0,0
21,"Alexander Pavlioutchenkov",0,0
22,"Alexander Sarkissian",23,10
23,"Alexander Vasilenko",11,3
24,"Alexander Ward",0,0
25,"Alexander Zhurbin",1,1
26,"Alexandr Igoshin",12,1
27,"Alexey Vatutin",34,13
28,"Alexios Halebian",6,2
29,"Andrea Arnaboldi",22,9
30,"Andrea Basso",24,7
31,"Andrea Collarini",29,8
32,"Andreas Haider Maurer",14,4
33,"Andreas Seppi",9,7
34,"Andreas Siljestrom",0,0
35,"Andrej Martin",14,5
36,"Andrew Harris",16,6
37,"Andrew Whittington",30,5
38,"Andrey Yakovlev",0,0
39,"Ante Pavic",24,8
40,"Antoine Escoffier",26,11
41,"Antonio Ruiz Rosales",0,0
42,"Arata Onozawa",0,0
43,"Arjun Kadhe",7,4
44,"Arnau Dachs",0,0
45,"Arthur De Greef",15,10
46,"Aslan Karatsev",7,4
47,"Attila Balazs",5,3
48,"Austin Krajicek",14,5
49,"Axel Michon",0,0
50,"Benjamin Lock",0,0
51,"Benjamin Mitchell",14,5
52,"Bernard Tomic",5,4
53,"Bjorn Fratangelo",12,8
54,"Blaz Kavcic",2,1
55,"Blaz Rola",27,15
56,"Boris Arias",7,2
57,"Bradley Klahn",36,13
58,"Bradley Mousley",16,5
59,"Brayden Schnur",37,11
60,"Brydan Klein",13,2
61,"Caio Silva",0,0
62,"Calum Puttergill",0,0
63,"Cameron Norrie",17,6
64,"Carlos Berlocq",31,8
65,"Carlos Boluda Purkiss",9,4
66,"Carlos Gomez Herrera",35,13
67,"Cheng Peng Hsieh",14,2
68,"Cheng Yu Yu",1,1
69,"Cheong Eui Kim",4,2
70,"Christian Garin",76,23
71,"Christian Harrison",23,13
72,"Christian Lindell",0,0
73,"Christopher Diaz Figueroa",20,3
74,"Christopher Oconnell",4,2
75,"Christopher Rungkat",0,0
76,"Chuhan Wang",0,0
77,"Constant Lestienne",45,19
78,"Cristian Rodriguez",12,7
79,"Dane Propoggia",5,1
80,"Daniel Brands",4,6
81,"Daniel Dutra Da Silva",0,0
82,"Daniel Evans",11,6
83,"Daniel Gimeno Traver",74,21
84,"Daniel Masur",31,12
85,"Daniel Munoz De La Nava",10,3
86,"Daniel Nguyen",9,3
87,"Daniel Yoo",0,0
88,"Daniiar Duldaev",2,1
89,"Daniil Medvedev",8,4
90,"Danilo Petrovic",32,11
91,"Dante Gennaro",0,0
92,"Darian King",31,11
93,"Dario Acosta",0,0
94,"David Guez",38,13
95,"David Pel",0,0
96,"David Vega Hernandez",15,5
97,"Dayne Kelly",6,3
98,"Denis Istomin",0,0
99,"Denis Kudla",39,17
100,"Denis Matsukevitch",0,0
101,"Dennis Nevolo",0,0
102,"Dennis Novak",8,4
103,"Dennis Novikov",53,15
104,"Denys Molchanov",0,1
105,"Di Wu",17,6
106,"Dimitar Kuzmanov",12,5
107,"Divij Sharan",0,0
108,"Donald Young",4,1
109,"Dorian Descloix",1,2
110,"Dragos Dima",0,0
111,"Dudi Sela",13,5
112,"Dusan Lajovic",3,5
113,"Dustin Brown",21,6
114,"Dzmitry Zhyrmont",4,1
115,"Edoardo Eremin",20,6
116,"Eduard Esteve Lobato",0,1
117,"Edward Bourchier",3,1
118,"Edward Corrie",5,4
119,"Egor Gerasimov",15,7
120,"Elias Ymer",23,12
121,"Emilio Gomez",22,8
122,"Enrique Lopez Perez",31,9
123,"Enzo Couacaud",0,0
124,"Erik Crepaldi",8,2
125,"Ernests Gulbis",68,12
126,"Evan King",16,8
127,"Evan Song",21,11
128,"Evgeny Donskoy",5,6
129,"Evgeny Karlovskiy",22,9
130,"Fabrice Martin",0,0
131,"Fabricio Neis",0,1
132,"Facundo Arguello",21,6
133,"Facundo Bagnis",28,11
134,"Farrukh Dustov",0,0
135,"Federico Coria",19,13
136,"Federico Gaio",58,19
137,"Federico Zeballos",13,2
138,"Felipe Mantilla",29,11
139,"Fernando Romboli",0,1
140,"Filip Horansky",24,8
141,"Filip Peliwo",41,13
142,"Filippo Baldi",16,7
143,"Flavio Cipolla",23,5
144,"Florian Mayer",4,3
145,"Francesco Garzelli",0,0
146,"Francisco Dias",0,0
147,"Franco Agamenone",37,8
148,"Franco Skugor",7,2
149,"Frank Dancevic",19,8
150,"Frederico Ferreira Silva",0,0
151,"Frederico Gil",5,1
152,"Frederik Nielsen",29,12
153,"Gastao Elias",24,9
154,"Gavin Van Peperzeel",10,2
155,"Gerard Granollers",23,11
156,"Germain Gigounon",6,2
157,"Gianluigi Quinzi",20,18
